,px,px.,py,py.,Opx,Opy,Estpx,Estpx.,Estpy,Estpy.,err_quadra
0,3.0,40.0,-4.0,20.0,-23.264533838135307,20.290355443233132,3.0,40.0,-4.0,20.0,0.0
1,42.61258266983952,38.02572192586537,15.054662751448248,19.45680499358898,64.92880964437005,18.051969770123904,43.05912913618879,40.040094414265,16.00553295878621,20.005229782962306,5.462024169432446
2,80.63353999257683,38.152257769114264,33.986274455609134,19.115511440902573,128.80283156085764,2.734690296464244,83.5242480988069,40.27114267803871,35.677844740391855,19.789650038248546,16.16173948948344
3,119.29290188556254,39.281257815276305,53.24046580240057,18.554440048972086,99.16541581001657,91.41910765005471,123.22135261346634,40.03663493763422,56.37777956834106,20.206124739834245,28.574119702537697
4,158.2230611261704,37.54562528061292,73.9642123459238,21.2008174786022,125.84471285420068,88.06499165796207,161.53919429712178,39.48101698397009,77.15315239931961,20.406059156613395,25.543459707430443
5,196.1094175886,39.36375945718307,94.46878369282419,21.2751586967683,187.50778352566536,62.16022385150603,199.9885554399043,39.2050820651817,94.67569450507901,19.582537331722616,17.98066815379122
6,235.26848760251923,39.223226933629185,115.39014174166394,20.920772773155615,288.6386411904372,59.335717738809166,244.6953591817556,40.46501363455063,107.82187578125215,18.02558976958753,156.06867625367727
7,274.6702581701578,38.71906327552378,136.5849563676356,21.7698206485993,331.08733930224446,103.25722169128792,291.86558682904285,41.81605640785566,122.4174380339772,17.300597212174903,525.9632280080164
8,312.8300906921003,37.88338756403013,158.71652988605095,22.324925396787066,277.46526660034465,159.53103278971625,323.77250157834345,40.01872811233807,143.309757735261,17.981010848356537,380.5342569710432
9,352.16043835672883,40.04032094966453,179.8622655871441,21.302386420726666,350.0677702654232,125.93916941754841,361.05031741693585,39.56217197887356,154.09537667041712,16.73247879745131,764.075196275593
10,391.9319027925365,39.98713763234521,199.99352854493915,19.59506520359137,429.42461522614036,179.9715926872776,406.8389388165312,40.53175677988903,172.82756661656336,17.056421405154143,966.9505328658537
11,432.10932354939644,40.344236263350886,218.69996147200513,19.076659600070585,395.56745571239037,199.47633920826468,435.6371304981133,38.796232760737716,192.07161990806893,17.392863070719862,726.7454819094237
12,472.63046261892754,39.97656396804794,237.70804674163287,19.384343972410544,449.808855985856,196.3835421647009,468.7083290140518,37.98060165152583,206.413070855183,16.94083957154063,1004.7132270740209
13,511.21308560450353,38.003556478014694,257.3930047293308,19.509629598805795,512.2270690705683,251.58855152592412,507.99355926339655,38.16176110327029,230.01199084053383,17.902437257201314,762.6933673659396
14,549.5765466779947,38.66268444375231,277.09316257398984,19.26891554731329,515.3615137461494,316.2894566628684,538.8598563622509,37.164844516267365,264.1064146699702,20.20457590727087,286.6220572036793
15,589.1271694701411,39.52937536312688,296.9677091770354,20.02285966092727,591.8752566006116,291.6367800331055,579.7867169972807,37.674480824994056,286.04750066891165,20.449407984691643,210.11758347876324
16,628.9762694288222,41.02093071329833,317.15372003870806,20.405883393788802,597.1441916102501,316.8202463616069,612.6382066366754,37.02332593594637,308.94334846590885,20.79321782822504,350.47336908356965
17,668.4790258549925,38.490237165306425,339.37756478311616,22.02100445955553,715.3677482125108,351.17401084791493,665.2568776725874,39.12902971944421,334.815148097673,21.50698126043737,31.870160697440486
18,707.8227959640609,40.058465018515086,360.75888815108254,22.477471594027918,736.183997281511,351.88395703716026,711.9341986277594,40.15033899556218,355.27060016459717,21.358910971600544,48.2845555793706
19,749.1720631643398,42.106717877253075,381.51002972751485,20.908946810796003,753.8853260733003,354.2749708412866,752.5122914421952,40.20838986665371,371.32936225901904,20.61053685015325,118.49581279271095
20,791.953887216976,44.132435192350904,403.61789478356167,21.581723996600914,789.3996619959097,453.6549835739054,791.9309052262948,40.100866316456376,406.59026114251594,22.68501639358422,26.306291658061404
21,837.588159235923,46.82878444606679,423.72538970197905,21.03792415756946,851.56005812869,395.19591535203926,836.6828968748226,40.735942444019614,421.1723430969694,21.534742271809044,44.707098810322925
22,884.9233780011099,47.63489200354372,445.7182675900581,22.393512877124433,916.2544751498203,427.50030801715945,886.684393539421,42.00415437788976,439.0849853657639,21.019511949089157,80.69469355250735
23,931.5124003388269,45.4065920969483,467.5732758676869,22.232796275928703,919.9744162859524,459.5339609755129,926.6058412084635,41.718556911604004,459.9683574126885,21.000117777388756,97.03020701602783
24,975.8426873461912,43.84297624489536,489.2116886776981,21.779401761700996,991.123983217078,470.4532575014138,973.782666012172,42.468021189891765,478.45513660378623,20.641722551967966,123.1319158029303
25,1020.254209836502,44.73420812951251,513.0914059093051,23.453138576290353,988.1830057899833,450.4161555681036,1009.5211953459748,41.54322465528883,487.4438902573192,18.979109424817807,803.1919715537233
26,1064.3926720763538,43.841555663541286,537.2934998464577,24.389491415606336,1087.5176164276093,585.479703739264,1059.815532958383,42.746419818459245,525.3710338305227,21.683218102633887,171.61863617007407
