,px,px.,py,py.,Opx,Opy,Estpx,Estpx.,Estpy,Estpy.,err_quadra
0,3.0,40.0,-4.0,20.0,-9.091070196324273,-2.721687177346239,3.0,40.0,-4.0,20.0,0.0
1,43.96891704566547,41.18845545480318,13.87771841179605,17.836888374585637,43.33341660639295,72.93761403266002,43.000874462674226,40.00057271146974,16.14933214865793,20.132505991062672,12.778261064973055
2,85.13028425491761,41.26757255090474,32.91316573403073,19.206834353882357,74.9073306518164,67.22457894950742,82.93087269312416,39.963189492850105,36.57012441655199,20.312716208977317,21.135147863386607
3,126.26701509854716,41.05837735738781,52.15171269397216,19.367533618867817,108.15745404918765,146.62767069441637,122.5783194739768,39.836851802277565,58.959465898176184,21.23942445093075,64.94807906902334
4,167.0775964250512,40.494926232404275,71.41135777154489,19.453184722086903,169.13037214395627,17.801339023572538,162.69607617821697,39.92604630515505,77.39348606351177,20.27376098535885,55.98054835044151
5,207.5005081489751,40.14710949261619,92.78266943981049,21.286711994654027,211.95628147893441,94.85243267421345,203.2694629069927,40.09639376172167,97.4594608501274,20.215460250760422,40.924274119471185
6,246.8155296803087,39.18943629808008,114.43116744333646,21.50072677691009,278.2148353407049,78.6120298023078,246.89947014924488,40.89310813103204,113.50660362599399,19.223826519346645,8.94863675195046
7,287.63163514299004,41.046131696185896,136.84494653002298,22.167918907441237,290.7418070455366,185.70653259992736,288.187810197559,40.971501115911636,140.11667006780604,20.759101790278436,13.003840992131444
8,327.82067769420337,40.13273036639869,159.37139225644182,22.574060136434806,300.2837156452201,166.0383080060217,324.443176659781,40.13028055602451,161.74391017825081,20.920656765196703,19.770103236421498
9,368.15221179477714,40.15384778107887,182.92992766738885,23.42029647107499,322.8795289084851,227.14646640601,356.7816089514977,38.856271410098344,191.1486392228979,22.36391158079285,199.63748212719676
10,408.07811238883073,39.509875692756445,205.9828085554487,23.230420266682696,432.1815816721725,234.5509712768727,403.0934873304189,39.992937585639034,217.86287492427942,23.052882356023552,166.24733240284627
11,447.10906159737607,38.57868766191982,229.18319422929312,23.835566051379583,433.28354386568947,238.24921277022042,440.97478625187165,39.68812195124465,240.3366039720937,22.96609961232527,164.014699236234
12,486.18857830699193,39.82269490998822,252.05394273850342,22.511115408184388,532.8487805825815,254.16876725611135,492.2660225563365,41.29567065896319,261.2626574780165,22.672746933122152,123.93153806453859
13,525.2111530491908,38.75821623257198,275.2056040742209,22.500461308096032,535.8599363393289,283.58131980353943,534.0814766447035,41.36560578869995,283.85516603639707,22.66153977688385,160.3219893971459
14,564.3864405373341,39.64420224631011,296.15691159794693,20.69943739388352,532.1124119229333,291.24837293815693,565.5660166614189,40.061765688555354,303.03430476031446,22.18436442270379,51.069304051511075
15,604.5526259351414,41.39286122628277,315.8095139588366,19.76268646289478,615.6307637616304,338.0797675104867,607.915887717934,40.36019261203286,328.15828834272645,22.58262539092619,172.82221862849156
16,646.0832812567107,41.673780401928475,337.77340211370216,21.92089588086366,659.280042443046,333.34078712222,650.7950186781491,40.68683472390184,346.7632426145532,22.046713343633808,104.00759356463695
17,687.3567188145809,40.46955390159761,359.7315412532713,22.02047376520694,669.3832844391935,370.01310816288367,686.4238893502695,40.03203150940892,369.0848792645397,22.083695561745444,88.55052560175012
18,728.0038654819824,40.53465508624095,381.3261670191519,22.08809603587947,727.6471631934701,398.88684383624985,726.7285376390948,40.06735877214011,392.9317886704913,22.321097092631213,136.5895703585016
19,769.4565835576448,42.08881160660129,403.69169065844704,22.41019134557412,786.8832547723785,412.10362744838113,771.3941014150048,40.664670125810694,414.53326004086875,22.223987643773896,123.35645289732543
20,810.598627276373,40.32517468784094,426.1901157069759,21.94567740188231,791.274493577772,405.12018376623365,807.297391742776,40.04428609283673,429.52205307576605,21.244944954973658,22.56988704277788
21,851.2036371268987,41.72876172382426,447.359696237402,20.842071311388086,827.5239880574923,429.16579365206366,842.7962212818204,39.45022455142513,445.82059836133834,20.573789438183056,78.31717027367189
22,893.3015844522142,42.357714062063756,468.0495318449828,20.465092978106696,893.5515457408513,434.90530326745613,884.8433792958439,39.79055670462682,459.1723155230459,19.591522197057433,157.6996269010593
23,935.602487519801,42.07261496998697,489.6856463605411,21.55689280520677,931.0075407038925,508.16736146728744,926.1005012319447,39.98318556593523,485.5192677337121,20.512067220228097,113.1038300142488
24,978.2207312653906,43.40671441666679,512.7472076543867,24.047432257541974,972.1093795542296,532.0111963436855,967.4725514544552,40.165923072879394,512.010505006568,21.327966047058535,133.96432504342894
25,1022.4821336071111,44.116611413158374,536.0383683216555,24.082290104300018,1044.128655618549,554.6216348293835,1016.0626039275651,41.27567062532556,538.2446371695762,21.998065403495975,58.49292069929145
26,1065.634650862348,42.90152521056854,558.940975651674,22.54547262153587,1073.7032376825155,565.493395461093,1061.1217223545068,41.77447870470074,561.4548231177861,22.163709842171222,28.101929445861593
27,1108.752680893615,43.742389697615735,581.996120530214,22.929853601913216,1148.7276733369765,551.9679807688707,1113.5051108003238,43.173798035433244,576.3031105316903,21.16376401374079,58.43832177322474
28,1152.3102982318803,44.591868303562464,605.1446622094874,23.187377677967113,1120.8777339428145,608.8222639387353,1148.3833849408536,42.07938175668348,600.0940642925306,21.522887886435726,50.01230222837079
29,1197.0143030203753,44.972984420236564,629.9843727801918,24.398312707333982,1156.5648209438607,668.8795571762589,1182.6019363778707,41.04226805089293,632.5601883949435,23.01863029098783,231.7051930653781
30,1241.6722428350909,44.56652241914646,653.1572917635882,23.019315945232922,1228.7401769340706,604.1224633711231,1224.8266704248463,41.19826657852764,643.6575198979834,21.389479795155893,388.02048861129026
31,1286.1514802005524,44.502467088104446,677.3613313294018,23.65332885080279,1307.7471583173292,732.6854718325172,1275.7105177866188,42.47590353195531,680.7240877901172,23.53146846425245,124.44363694418122
32,1330.0339353383674,43.43118633795437,700.6303962958432,23.780062948972528,1317.482500025883,765.0899483449379,1318.022957317642,42.45434371180798,718.3598705944153,25.458187516692153,462.3681754991166
33,1373.6922531675996,44.37619138529942,725.1871190658056,24.90842615783572,1400.923129489343,742.122924539129,1369.8716603670698,43.693233092911775,743.4249655369771,25.404498645762203,347.9284931958995
34,1417.6743944560312,43.539811353564964,749.5295728012536,24.129249531594528,1437.8750721637207,733.6238582602754,1419.2122317482924,44.43789367635915,760.6644112760803,24.289475733520934,127.18179569224864
35,1460.181496048065,42.29013972099676,775.4646100337875,25.99067869152747,1460.9864499903808,803.8719379303166,1463.0312896742073,44.35630147787809,789.3417932270784,24.88861945767892,206.18109605226638
36,1503.3464040825284,44.42049849102472,801.7699998437494,26.171901646047022,1537.0072801341266,784.0654630744053,1514.269307460078,45.26357595953325,807.2335684603589,23.93332403486494,154.88240956287726
37,1547.8888606218618,44.912034076653896,828.3900188972831,26.357865346772815,1493.0248420498474,770.1168622498816,1544.0802643747977,43.22643080559695,817.0058707953558,22.00000651435364,165.93642537045687
38,1592.6802667307236,45.398050549826344,854.3368983494321,25.931470153253265,1583.703422403067,835.006585785355,1586.4694928822883,43.11606461485209,838.0782034718948,21.873362047250946,324.59457212468874
39,1638.1214005433135,44.800107259704454,879.4850468448394,26.097738119298505,1640.094327425461,843.7614944682397,1632.0272278651662,43.43793763179697,856.1961181175418,21.360687249036665,603.8082989388671
40,1683.9069791291479,46.0607692683504,906.361999535759,27.06363320237179,1698.1232120733455,977.1431141443388,1680.7296749391626,44.13192541449353,900.6568119347862,24.514143817487085,52.864762214192595
41,1730.984986196091,47.54375846274387,933.805654597442,27.59107486541155,1743.7921662137478,916.7114924080396,1729.260042388089,44.711744083896086,923.2087042668486,24.24627182310654,134.47880028364085
42,1778.5167925478404,47.83751462876776,960.5931712046056,26.356511168558256,1732.8193890750215,954.5450306622607,1764.4101906260532,43.45129601364609,949.099579376768,24.47078085024616,353.89376345774514
43,1826.1158987659362,47.615680000050276,986.9878701219378,27.27564871562037,1806.6260106070797,968.3687175590685,1807.574428471592,43.4134546577116,972.3637907957644,24.306068515464652,584.1269212072109
44,1873.323448614169,46.149349562636544,1014.2446438855062,26.890179617993514,1835.2453548487813,1031.0848298451776,1847.3301600590742,42.93127361487708,1004.6527451576126,25.395839754990185,780.2446355462961
45,1919.0645158283419,45.69229305292438,1041.3008243825652,26.99143581687329,1903.7210229713223,1011.6829042437503,1893.3887314744418,43.34353342436747,1025.7884766944937,24.81427549524379,910.1355318424145
46,1965.1611755372344,47.09283559108724,1066.673571642267,25.54998821677269,1959.7371476814888,1089.0002654467971,1942.0774009396985,44.04816590616378,1059.5094766038953,26.030171801311287,593.6854971538185
47,2011.128570966771,45.3992705740082,1092.2946360109277,26.583512206146587,2023.631013787814,1030.922953435965,1994.8399064336922,45.196954461114274,1072.8706659844734,24.300668536359815,647.8635108899912
48,2057.5475284351314,47.75474293466769,1118.1667803088114,25.242825748467993,2097.0121305358825,1061.5298521188458,2053.2750293115823,46.94211272257659,1088.903848816997,23.172032551103666,879.5219605832084
